fecha_hecho,prediccion_delitos,alcaldia_hecho,delito
2024-10-01,5.27517174973465,CUAUHTEMOC,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-26,0.5201554160040587,XOCHIMILCO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-24,0.5166016987259927,FUERA DE CDMX,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,2.00118699813902,LA MAGDALENA CONTRERAS,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-29,0.803947548248042,TLAHUAC,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-25,0.5041508935503884,MILPA ALTA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-22,0.5313720704582787,CUAJIMALPA DE MORELOS,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-08-14,0.5039063096046452,CDMX (INDETERMINADA),ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-30,0.7961812953193732,TLALPAN,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-30,0.6541756744601226,IZTAPALAPA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-30,1.8672017532790994,GUSTAVO A. MADERO,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-10-01,0.6323028927752063,BENITO JUAREZ,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-29,0.8957867086087703,COYOACAN,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-28,0.5000085989814806,MIGUEL HIDALGO,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-30,0.5256444826955007,AZCAPOTZALCO,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-15,0.7659324139868036,VENUSTIANO CARRANZA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-26,0.9375179442328094,IZTACALCO,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-26,0.7739343648848386,ALVARO OBREGON,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-30,0.5024524405639578,CUAUHTEMOC,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-29,0.5002520106500016,XOCHIMILCO,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-26,1.0561686182197985,FUERA DE CDMX,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-25,0.5078144092158299,LA MAGDALENA CONTRERAS,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-24,0.8127442747359057,TLAHUAC,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-22,0.5003738403356692,MILPA ALTA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-12,0.5000000001166427,CUAJIMALPA DE MORELOS,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-16,0.519533157610681,CDMX (INDETERMINADA),ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-08-25,0.5,TLALPAN,HOMICIDIOS INTENCIONALES (OTROS)
2024-08-26,0.5,IZTAPALAPA,HOMICIDIOS INTENCIONALES (OTROS)
2024-06-28,0.5,GUSTAVO A. MADERO,HOMICIDIOS INTENCIONALES (OTROS)
2023-03-18,0.5,BENITO JUAREZ,HOMICIDIOS INTENCIONALES (OTROS)
2024-07-30,0.5,COYOACAN,HOMICIDIOS INTENCIONALES (OTROS)
2023-03-01,0.5,MIGUEL HIDALGO,HOMICIDIOS INTENCIONALES (OTROS)
2024-06-18,0.5,AZCAPOTZALCO,HOMICIDIOS INTENCIONALES (OTROS)
2022-11-04,0.5468750000005969,VENUSTIANO CARRANZA,HOMICIDIOS INTENCIONALES (OTROS)
2023-09-24,0.5,IZTACALCO,HOMICIDIOS INTENCIONALES (OTROS)
2024-05-14,0.5,ALVARO OBREGON,HOMICIDIOS INTENCIONALES (OTROS)
2024-09-21,0.5,CUAUHTEMOC,HOMICIDIOS INTENCIONALES (OTROS)
2024-04-10,0.5000000000004547,XOCHIMILCO,HOMICIDIOS INTENCIONALES (OTROS)
2024-09-29,0.5000000000002274,FUERA DE CDMX,HOMICIDIOS INTENCIONALES (OTROS)
2024-09-18,0.5,LA MAGDALENA CONTRERAS,HOMICIDIOS INTENCIONALES (OTROS)
2024-06-30,0.5,TLAHUAC,HOMICIDIOS INTENCIONALES (OTROS)
2024-03-16,0.5,MILPA ALTA,HOMICIDIOS INTENCIONALES (OTROS)
